BorrowID,CopyID,ReaderID,BorrowDate,DueDate,ReturnDate
43,114,43,2024-11-2,2024-12-2,2024-11-30
44,116,44,2024-10-15,2024-11-14,2024-11-11
45,117,45,2024-5-15,2024-6-14,2024-5-26
46,120,46,2025-1-30,2025-3-1,2025-2-20
47,128,47,2024-1-28,2024-2-27,2024-3-1
48,129,48,2023-7-6,2023-8-5,2023-8-8
49,132,49,2024-7-27,2024-8-26,2024-8-15
50,133,50,2024-6-27,2024-7-27,2024-7-27
51,135,51,2023-6-5,2023-7-5,2023-6-28
52,139,52,2024-2-15,2024-3-16,2024-3-2
53,141,53,2025-2-14,2025-3-16,2025-3-7
54,143,54,2024-10-26,2024-11-25,2024-11-30
55,146,55,2024-11-22,2024-12-22,2024-12-6
56,150,56,2024-1-6,2024-2-5,2024-1-23
57,153,57,2024-9-23,2024-10-23,2024-10-17
58,157,58,2025-3-10,2025-4-9,2025-3-24
59,162,59,2025-3-16,2025-4-15,2025-4-16
60,164,60,2024-3-30,2024-4-29,2024-4-29
61,166,61,2023-10-12,2023-11-11,2023-11-2
62,170,62,2024-2-9,2024-3-10,2024-2-29
63,174,63,2025-1-18,2025-2-17,2025-1-28
64,175,64,2025-4-6,2025-5-6,2025-4-26
65,178,65,2023-8-18,2023-9-17,2023-9-22
66,180,66,2023-11-4,2023-12-4,2023-11-23
67,184,67,2024-4-20,2024-5-20,2024-5-5
68,185,68,2023-8-22,2023-9-21,2023-9-23
69,190,69,2024-10-21,2024-11-20,2024-11-18
70,195,70,2024-9-15,2024-10-15,2024-10-17
71,196,71,2024-2-21,2024-3-22,2024-3-14
72,197,72,2024-1-11,2024-2-10,2024-2-15
73,201,73,2025-3-11,2025-4-10,2025-3-23
74,203,74,2023-5-27,2023-6-26,2023-6-18
75,208,75,2024-1-8,2024-2-7,2024-2-2
76,212,76,2025-1-6,2025-2-5,2025-2-8
77,214,77,2023-12-27,2024-1-26,2024-1-23
78,215,78,2025-2-3,2025-3-5,2025-3-3
79,216,79,2023-9-17,2023-10-17,2023-10-20
80,221,80,2024-11-4,2024-12-4,2024-12-8
81,225,81,2024-8-8,2024-9-7,2024-9-1
82,230,82,2024-10-25,2024-11-24,2024-11-24
83,235,83,2024-3-18,2024-4-17,2024-3-29
84,237,84,2025-1-8,2025-2-7,2025-2-1
85,238,85,2023-7-18,2023-8-17,2023-8-4
86,240,86,2024-3-12,2024-4-11,2024-4-5
87,241,87,2024-5-24,2024-6-23,2024-6-20
88,243,88,2024-11-19,2024-12-19,2024-12-2
89,244,89,2024-7-17,2024-8-16,2024-7-31
90,245,90,2024-8-11,2024-9-10,2024-8-28
91,247,91,2024-12-6,2025-1-5,2025-1-10
92,250,92,2025-3-31,2025-4-30,2025-4-25
93,253,93,2024-12-22,2025-1-21,2025-1-26
94,257,94,2024-5-3,2024-6-2,2024-5-19
95,260,95,2024-9-9,2024-10-9,2024-9-27
96,261,96,2023-6-6,2023-7-6,2023-7-5
97,270,97,2024-4-26,2024-5-26,2024-5-26
98,272,98,2023-11-13,2023-12-13,2023-12-9
99,277,99,2024-4-25,2024-5-25,2024-5-29
100,278,100,2024-7-6,2024-8-5,2024-7-20
101,279,101,2023-8-12,2023-9-11,2023-9-8
102,281,102,2023-8-25,2023-9-24,2023-9-28
103,283,103,2023-11-18,2023-12-18,2023-12-8
104,287,104,2025-1-9,2025-2-8,2025-2-10
105,290,105,2024-5-18,2024-6-17,2024-6-22
106,293,106,2025-1-23,2025-2-22,2025-2-6
107,300,107,2023-10-24,2023-11-23,2023-11-20
108,305,108,2023-12-7,2024-1-6,2023-12-22
109,307,109,2024-9-2,2024-10-2,2024-9-17
110,310,110,2024-9-21,2024-10-21,2024-10-9
111,313,111,2025-2-15,2025-3-17,2025-3-15
112,315,112,2025-3-29,2025-4-28,2025-4-17
113,320,113,2025-4-3,2025-5-3,2025-4-27
114,321,114,2024-6-16,2024-7-16,2024-7-12
115,325,115,2025-1-3,2025-2-2,2025-2-2
116,326,116,2023-8-18,2023-9-17,2023-9-22
117,331,117,2024-7-2,2024-8-1,2024-7-17
118,334,118,2024-12-22,2025-1-21,
119,340,119,2024-1-13,2024-2-12,2024-1-24
120,343,120,2024-10-31,2024-11-30,
121,347,121,2025-1-6,2025-2-5,2025-1-16
122,350,122,2025-2-14,2025-3-16,
123,351,123,2023-8-27,2023-9-26,
124,355,124,2024-7-18,2024-8-17,2024-8-6
125,359,125,2023-9-26,2023-10-26,2023-10-11
126,364,126,2025-4-9,2025-5-9,2025-5-10
127,367,127,2023-9-20,2023-10-20,2023-10-7
128,372,128,2023-12-5,2024-1-4,2023-12-25
129,373,129,2025-3-10,2025-4-9,
130,380,130,2024-8-3,2024-9-2,2024-8-16
131,383,131,2023-12-29,2024-1-28,2024-1-28
132,386,132,2024-5-4,2024-6-3,2024-5-16
133,391,133,2024-6-22,2024-7-22,2024-7-17
134,392,134,2024-9-27,2024-10-27,2024-10-19
135,396,135,2025-1-28,2025-2-27,2025-2-14
136,400,136,2023-9-21,2023-10-21,2023-10-9
137,408,137,2023-5-17,2023-6-16,2023-6-3
138,411,138,2023-6-13,2023-7-13,2023-7-2
139,413,139,2024-11-19,2024-12-19,2024-12-1
140,414,140,2023-5-28,2023-6-27,2023-6-8
141,415,141,2023-5-11,2023-6-10,2023-6-13
142,417,142,2023-12-9,2024-1-8,2023-12-21
143,419,143,2023-12-19,2024-1-18,2024-1-11
144,421,144,2023-9-19,2023-10-19,2023-10-12
145,422,145,2024-10-9,2024-11-8,2024-11-9
146,424,146,2025-3-1,2025-3-31,2025-3-23
147,427,147,2023-11-14,2023-12-14,2023-11-26
148,430,148,2024-1-28,2024-2-27,2024-3-1
149,435,149,2024-2-3,2024-3-4,2024-2-13
150,436,150,2023-8-14,2023-9-13,2023-8-25
151,440,1,2024-9-21,2024-10-21,2024-10-18
152,445,2,2023-7-6,2023-8-5,2023-8-9
153,446,3,2025-5-3,2025-6-2,2025-5-13
154,448,4,2024-5-26,2024-6-25,2024-6-11
155,450,5,2024-3-4,2024-4-3,2024-3-25
156,454,6,2023-11-2,2023-12-2,2023-11-28
157,458,7,2023-12-7,2024-1-6,2023-12-22
158,460,8,2023-11-7,2023-12-7,2023-12-10
159,467,9,2024-1-2,2024-2-1,2024-1-25
160,469,10,2023-7-8,2023-8-7,2023-7-18
161,470,11,2023-6-15,2023-7-15,2023-7-13
162,474,12,2024-11-29,2024-12-29,2024-12-26
163,475,13,2023-7-8,2023-8-7,2023-7-26
164,476,14,2024-3-28,2024-4-27,2024-4-21
165,478,15,2024-4-12,2024-5-12,2024-5-1
166,482,16,2024-10-18,2024-11-17,2024-11-22
167,484,17,2024-3-18,2024-4-17,2024-3-30
168,486,18,2023-7-1,2023-7-31,2023-8-5
169,487,19,2024-12-7,2025-1-6,2025-1-9
170,490,20,2025-3-26,2025-4-25,2025-4-12
171,493,21,2023-5-19,2023-6-18,2023-6-14
172,494,22,2023-6-17,2023-7-17,2023-7-16
173,498,23,2024-7-11,2024-8-10,2024-8-7
174,503,24,2024-12-17,2025-1-16,2025-1-5
175,506,25,2023-5-10,2023-6-9,2023-6-11
176,510,26,2023-10-20,2023-11-19,2023-10-30
177,511,27,2024-2-21,2024-3-22,2024-3-19
178,514,28,2024-6-13,2024-7-13,2024-7-18
179,516,29,2023-9-15,2023-10-15,2023-10-15
180,519,30,2024-11-20,2024-12-20,2024-12-18
181,520,31,2024-3-22,2024-4-21,2024-4-16
182,528,32,2023-5-26,2023-6-25,2023-6-30
183,531,33,2024-7-29,2024-8-28,2024-8-11
184,535,34,2025-3-19,2025-4-18,2025-4-16
185,537,35,2024-7-9,2024-8-8,2024-8-7
186,540,36,2023-11-23,2023-12-23,2023-12-8
187,543,37,2024-4-21,2024-5-21,2024-5-3
188,546,38,2024-1-5,2024-2-4,2024-1-30
189,550,39,2025-1-23,2025-2-22,2025-2-14
190,551,40,2023-7-16,2023-8-15,2023-8-7
191,552,41,2025-1-20,2025-2-19,2025-2-22
192,556,42,2024-11-19,2024-12-19,2024-12-19
193,558,43,2023-11-17,2023-12-17,2023-12-3
194,559,44,2025-3-22,2025-4-21,2025-4-6
195,560,45,2025-1-31,2025-3-2,2025-2-24
196,566,46,2025-3-2,2025-4-1,2025-3-20
197,569,47,2024-6-17,2024-7-17,2024-6-27
198,570,48,2024-8-31,2024-9-30,2024-9-25
199,573,49,2025-3-20,2025-4-19,2025-4-14
200,575,50,2024-6-30,2024-7-30,2024-7-26
201,577,51,2023-12-16,2024-1-15,2024-1-2
202,578,52,2024-11-11,2024-12-11,2024-11-25
203,579,53,2025-4-3,2025-5-3,2025-4-27
204,580,54,2023-5-27,2023-6-26,2023-6-21
205,581,55,2024-7-9,2024-8-8,2024-7-30
206,1,1,2025-5-1,2025-6-1,
207,4,2,2025-5-2,2025-6-2,
208,9,3,2025-5-3,2025-6-3,
209,10,4,2025-5-4,2025-6-4,
210,13,5,2025-5-5,2025-6-5,
211,15,6,2025-5-6,2025-6-6,
212,18,7,2025-5-7,2025-6-7,
213,21,8,2025-5-8,2025-6-8,
214,24,9,2025-5-9,2025-6-9,
215,30,10,2025-5-10,2025-6-10,
216,33,11,2025-5-11,2025-6-11,
217,37,12,2025-5-12,2025-6-12,
218,40,13,2025-5-13,2025-6-13,
219,41,14,2025-5-14,2025-6-14,
220,46,15,2025-5-15,2025-6-15,
221,49,16,2025-5-16,2025-6-16,
222,51,17,2025-5-17,2025-6-17,
223,52,18,2025-5-18,2025-6-18,
224,54,19,2025-5-19,2025-6-19,
225,55,20,2025-5-20,2025-6-20,
226,57,21,2025-5-21,2025-6-21,
227,60,22,2025-5-22,2025-6-22,
228,61,23,2025-5-23,2025-6-23,
